,category_id,parent_id,name,link_url
912,1257,1252.0,Аппараты для сахарной ваты,http://e96.ru/kitchen_appliance/parties/apparaty_dlya_saharnoy_vaty
913,1570,,Мебель IKEA,http://e96.ru/ikea
914,1201,16.0,Электрооборудование,http://e96.ru/household_appliances/electrics
915,431,1176.0,Крышки-сиденья для биде,http://e96.ru/sanitary_engineering/sanfayans/kryshki_sidenja_dlja_bide
916,377,1039.0,Роликовые коньки,http://e96.ru/kids/children_transport/rolikovye_konki
917,1901,1900.0,Шкафы для раковины IKEA,http://e96.ru/ikea/vannaya_ikea/shkafy_dlya_rakoviny_ikea
918,847,683.0,Велоспорт,http://e96.ru/sporting_goods/cycle_racing
919,29,1246.0,Кухонные комбайны,http://e96.ru/kitchen_appliance/small/kuhonnye_kombayny
920,347,1079.0,Аксессуары для круглошлифовальных машин,http://e96.ru/tools/grinding_equipment/aksessuary_dlya_krugloshlifovalnyh_mashin
921,1531,1344.0,Шкафы в спальню,http://e96.ru/furniture/bedroom/shkafy_v_spalnyu
922,1092,1091.0,Стружкоотсосы,http://e96.ru/tools/building_facilities/strujkootsosy
923,384,1037.0,Детская посуда для кормления,http://e96.ru/kids/goods_for_newborns/detskaja_posuda_dlja_kormlenija
924,1428,1112.0,Фотобарабаны,http://e96.ru/computers/office_equipment_and_supplies/fotobarabany
925,481,1075.0,Коронки для дрелей и перфораторов,http://e96.ru/tools/drills/koronki
926,602,1037.0,Детское питание,http://e96.ru/kids/goods_for_newborns/detskoe_pitanie
927,729,684.0,Гири,http://e96.ru/sporting_goods/weightlifting/giri
928,1630,876.0,Сноуборды,http://e96.ru/sporting_goods/skis_and_snowboards/snoubordy
929,117,1118.0,Wi-Fi оборудование,http://e96.ru/computers/network_equipment/wifi
930,1036,304.0,Мебель и аксессуары,http://e96.ru/kids/furniture_and_accessories
931,596,1112.0,Принтеры для этикеток и чеков,http://e96.ru/computers/office_equipment_and_supplies/printery_ehtiketok
932,1232,1200.0,USB лампы,http://e96.ru/household_appliances/lighting/usb_lampy
933,271,1108.0,Охлаждающие подставки для ноутбуков,http://e96.ru/computers/laptops/okhlazhdajushhie_podstavki_dlja_noutbukov
934,1574,1571.0,Решения для хранения в гостиной IKEA,http://e96.ru/ikea/gostinaya_ikea/resheniya_dlya_hraneniya_v_gostinoy_ikea
935,392,1013.0,Парники,http://e96.ru/garden_cottage/greenhouses/parniki
936,598,1078.0,Заточные устройства для пил,http://e96.ru/tools/chain_saws_and_shears/zatochnye_ustroystva
937,1187,1171.0,Крепеж для смесителя,http://e96.ru/sanitary_engineering/faucets/krepej_dlya_smesitelya
938,1286,1346.0,Обеденные группы,http://e96.ru/furniture/kitchen/obedennye_gruppy
939,1369,1345.0,Кресла-качалки,http://e96.ru/furniture/living_room/kresla_kachalki
940,577,1143.0,Щетки стеклоочистителя,http://e96.ru/avto/auto_accessories/shhetki_stekloochistitelja
941,307,1046.0,Радиоуправляемые игрушки,http://e96.ru/kids/toys_on_remote_control/radioupravljaemye_modeli
942,313,1137.0,Автомобильные сирены,http://e96.ru/avto/alarm/avtomobilnye_sireny
943,1512,1189.0,Печи-камины,http://e96.ru/climat/heating/pechi_kaminy
944,850,683.0,Бадминтон,http://e96.ru/sporting_goods/badminton
945,149,46.0,Фильтры для вытяжек,http://e96.ru/built_in/filters
946,1411,1114.0,Аккумуляторы для ИБП,http://e96.ru/computers/power_protection_devices/akkumulyatory_dlya_ibp
947,881,876.0,Палки для беговых лыж,http://e96.ru/sporting_goods/skis_and_snowboards/palki_dlya_begovyh_lyj
948,441,1251.0,Губки для мытья посуды,http://e96.ru/kitchen_appliance/goods/gubki_dlja_posudy
949,1012,1007.0,Садовые воздуходувки,http://e96.ru/garden_cottage/garden_blowers
950,773,769.0,"Перчатки, лапы, накладки",http://e96.ru/sporting_goods/martial_arts/perchatki_lapy_nakladki
951,1638,876.0,Ботинки для сноубордов,http://e96.ru/sporting_goods/skis_and_snowboards/botinki_dlya_snoubordov
952,86,1110.0,Мониторы,http://e96.ru/computers/pc/monitory
953,202,1108.0,Сумки для ноутбуков,http://e96.ru/computers/laptops/sumki_dlya_noutbukov
954,1775,1386.0,Межкомнатные арки,http://e96.ru/finishes/doors/mejkomnatnye_arki
955,1763,1503.0,Туалеты для кошек,http://e96.ru/zootovary/tovary_dlja_koshek/tualety_dlya_koshek
956,1466,1203.0,Наборы для гольфа,http://e96.ru/household_appliances/presents/nabory_dlya_golfa
957,209,1250.0,Соковарки,http://e96.ru/kitchen_appliance/juices_and_yogurts/sokovarki
958,695,806.0,Батуты,http://e96.ru/sporting_goods/gym_and_aerobics/batuty
959,1155,1.0,Музыкальные плееры,http://e96.ru/audio_video/music_players
960,657,1191.0,Осушители воздуха,http://e96.ru/climat/air_purifiers/osushiteli_vozduha
961,978,1204.0,Электронные лупы,http://e96.ru/household_appliances/homeware/elektronnye_lupy
962,1288,1156.0,Встраиваемая акустика,http://e96.ru/audio_video/audio/vstraivaemaya_akustika
963,1268,1154.0,Рули,http://e96.ru/audio_video/gaming_consoles/ruli
964,9,1155.0,MP3-плееры,http://e96.ru/audio_video/music_players/mp3_pleery
965,1038,304.0,Детские комплексы,http://e96.ru/kids/baby_complexes
966,1007,,"Сад, дача, огород",http://e96.ru/garden_cottage
967,1634,876.0,Крепления для сноубордов,http://e96.ru/sporting_goods/skis_and_snowboards/krepleniya_dlya_snoubordov
968,1117,81.0,Носители информации,http://e96.ru/computers/recording_media
969,772,769.0,Защита,http://e96.ru/sporting_goods/martial_arts/zaschita
970,779,683.0,Плавание,http://e96.ru/sporting_goods/swimming
971,1176,206.0,"Унитазы, писсуары, биде",http://e96.ru/sanitary_engineering/sanfayans
972,261,1109.0,Чехлы для планшетных компьютеров,http://e96.ru/computers/tablet_computers/chekhly_dlja_planshetnykh_kompjuterov
973,1619,1112.0,Аксессуары для брошюраторов,http://e96.ru/computers/office_equipment_and_supplies/aksessuary_dlya_broshyuratorov
974,949,214.0,Аквабоксы,http://e96.ru/foto/photo_bags/akvaboksy
975,1503,1502.0,Товары для кошек,http://e96.ru/zootovary/tovary_dlja_koshek
976,505,1209.0,Насадки для зубных щеток,http://e96.ru/household_appliances/toothbrushes/nasadki_dlja_zubnykh_shhetok
